id_book,name_book
4И(Англ)/В679-135022,"Волмянская, Ольга Андреевна. Профессиональный английский язык для студентов-медиков [Текст] : учебное пособие / О. А. Волмянская, 1984. - 180 с."
4И(Англ)/Ж696-595282399,"Жидкова, Екатерина Михайловна. Пособие по английскому языку для старших курсов педиатрических факультетов медицинских вузов [Текст] : учебное пособие для студентов медицинских вузов / Е. М. Жидкова, Э. В. Лукьянова, 1983. - 112 с."
4И(Англ)/К832-848554,
4И(Англ)/М316-231562701,"Маслова, Алевтина Макаровна. Учебник английского языка для медицинских вузов [Текст] : учебник для студентов медицинских вузов / А. М. Маслова, З. И. Вайнштейн, Л. С. Плебейская, 1983. - 336 с."
4И(Англ)/М688-982322600,"Мифтахова, Нэлли Хусаиновна. Английский язык для химико-технологических вузов [Текст] : учебное пособие для студентов химико-технологических специальностей высших учебных заведений. Часть 2 : Задания для самостоятельной работы студентов 1-2 курсов, 1981. - 144 с."
4И(Англ)/П121-535978998,"Павлова, Нина Николаевна. Английский язык для медиков [Текст] : учебное пособие для студентов медицинских институтов / Н. Н. Павлова, И. В. Рубан, 1977. - 280 с."
4И(Англ)/Э775-003154,
4И(Англ.)/Д456-111768078,"Диксон, Ричард. Говорите по-английски [Текст] : учебное пособие для студентов неязыковых вузов / Р. Диксон, 1969. - 269 с."
4И(Нем)/А877-265474507,"Архипов, Герман Борисович. Пособие по обучению чтению на немецком языке для технических вузов химико-технологического профиля [Текст] : учебное пособие для студентов химико-технологических специальностей вузов / Г. Б. Архипов, Л. В. Егорева, 1983. - 96 с."
4И(Нем)/Б734-159270070,
4И(Нем)/Б948-288939,
4И(Нем)/Б948-288939,"Бушина, Лариса Михайловна. Учебник немецкого языка для медицинских вузов [Текст] : учебник для студентов медицинских вузов / Л. М. Бушина, Л. Н. Елисеева, В. Я. Яцковская, 1984. - 319 с."
4И(Нем)/К642-478913,
4И(Нем)/К642-478913,"Кондратьева, Виолетта Александровна. Немецкий язык для студентов-медиков [Текст] : учебник для медицинских вузов / В. А. Кондратьева, Л. Н. Григорьева, Т. В. Терновская, 1985. - 400 с."
4И(Нем)/К642-929589,
4И(Нем)/К642-929589,"Кондратьева, Виолетта Александровна. Пособие по развитию навыков чтения на немецком языке для медицинских вузов [Текст] : учебное пособие для студентов медицинских вузов / В. А. Кондратьева, 1980. - 144 с."
4И(Фр)/М338-714584,
4И(англ)/И253-361579,
4И(англ)/И253-373363,
4И(англ)/И253-505863,
4И(англ)/И253-505863,"Ивина, Татьяна Николаевна. English for students of pharmaceutical institutes [Текст] : учебное пособие для студентов фармацевтических институтов и факультетов / Т. Н. Ивина, Л. М. Галькевич, И. А. Зенькова, 1980. - 128 с."
4И(англ)/И253-505863,"Ивина, Татьяна Николаевна. Пособие по английскому языку для фармацевтических институтов и факультетов [Текст] : учебное пособие / Т. Н. Ивина, Л. М. Галькевич, И. А. Зенькова, 1980. - 128 с."
4И(англ)/М316-282023,
4И(англ)/М316-604475,
4И(англ)/М316-698893,
4И(англ)/Ч121-085511,
4И(англ)/Ч121-085511,"Чабнер, Дэви-Эллен. Язык медицины [Текст] : пособие по английскому языку для медицинских вузов / Д. Э. Чабнер, 1981. - 431 с."
4И(англ)/Ч121-085511,"Чабнер, Дэви-Эллен. Язык медицины [Текст] : пособие по английскому языку для медицинских вузов / Д.-Э. Чабнер, 1981. - 431 с."
4И/Д255-677909,
4И/Л241-717852,
4И/Л990-328600,
4и/А648-296537,
4и/М316-992603,
4р/К532-879468,
4р/К890-810625,
5/Г963-554323,
5/Г963-554323,"Гусейханов, Магомедбаг Кагирович. Концепции современного естествознания [Текст] : учебник для студентов высших учебных заведений / М. К. Гусейханов, 2011. - 598 с."
51/Г559-625382,
51/Г559-625382,"Гмурман, Владимир Ефимович. Теория вероятностей и математическая статистика [Текст] : учебное пособие для студентов вузов / В. Е. Гмурман, 2009. - 479 с."
51/Г559-639809,
51/Г559-639809,"Гмурман, Владимир Ефимович. Руководство к решению задач по теории вероятностей и математической статистике [Текст] : учебное пособие для студентов вузов / В. Е. Гмурман, 2009. - 404 с."
51/Г887-925910,
51/Д186-826406,
51/Д186-826406,"Данко, Павел Ефимович. Высшая математика в упражнениях и задачах [Текст] : учебное пособие для студентов высших технических учебных заведений : в 2-х частях. Часть 1, 1986"
51/К562-947763528,
51/К708-319590,
51/Л683-164866185,
51/Л683-255815,
51/М-366951,
51/Н731-534560,
51/О753-905137,
51/С232-208265,
51/С232-348713390,
51/С232-348713390,"Сборник задач по математике для втузов [Текст] : учебное пособие для студентов инженерно-технических специальностей вузов / ред.: А. В. Ефимов, Б. П. Демидович. Часть 1 : Линейная алгебра и основы математического анализа, 1981. - 464 с."
51/С232-357886,
51/С232-362858,
51/С232-614775,
51/С232-866858360,"Сборник задач по математике для втузов [Текст] : учебное пособие для студентов инженерно-технических специальностей вузов / ред.: А. В. Ефимов, Б. П. Демидович. Часть 2 : Специальные разделы математического анализа, 1981. - 368 с."
51/Т191-453668398,"Тарасов, Николай Петрович. Курс высшей математики для техникумов [Текст] : учебник для средних специальных учебных заведений / Н. П. Тарасов, 1975. - 432 с."
51/У912-502734856,
51/Ч492-885173,
51/Ч492-885173,"Черникова, Елена Владимировна. Математика (теоретический курс) [Текст] : учебное пособие по дисциплине ""Математика"" для студентов, обучающихся по специальности социальная работа / Е. В. Черникова, М. Б. Аржаник, Р. А. Манешева ; рец. В. В. Кулагина, 2014. - 144 с."
51/Ш630-348647,
516/Д186-335228,
516/Д186-335228,"Данко, Павел Ефимович. Высшая математика в упражнениях и задачах [Текст] : учебное пособие для студентов высших технических учебных заведений : в 2-х частях. Часть 2, 1986"
517/Б135-387282,
517/Б902-164951,
517/О753-125650,
517/П350-625121,
517/П350-625121,"Письменный, Дмитрий Трофимович. Конспект лекций по высшей математике. Полный курс [Текст] : учебное пособие для студентов высших учебных заведений / Дмитрий Письменный, 2009. - 608 с."
517/Т191-516588,
519/С781-483473,
519/С781-483473,"Статистические методы для ЭВМ [Текст] : пер. с англ. / К. Энслейн, Г. О. Хартли, Р. Р. Хокинг, 1986. - 459 с."
53(075)/Р380-564822,
53(075)/С128-275077,
53(075)/С128-982093,
53/P59-128237,
53/P59-128237,"Physics: mechanics [Текст] : on the discipline ""Physics, mathematics"" in accordance with the training program of foreign students enrolled in the ""General medicine"" speciality (bilingual education system) / L. A. Krasnobaeva [et al.] ; rev.: O. N. Sulakshina, 2017. - 81 p."
53/Б241-104634,
53/Б241-679684967,"Баранов, Александр Петрович. Сборник задач и вопросов по медицинской физике [Текст] : учебное пособие для студентов медицинских институтов / А. П. Баранов, Г. М. Рогачев, 1982. - 190 с."
53/К617-010582,
53/Л554-805499,
53/С128-042415055,
53/С128-768427,
53/С232-153121,
53/С232-328926,
53/Т761-163060,
53/Т761-307105,
53/Т761-504334,
53/Т761-666940,
53/Т761-666940,"Трофимова, Таисия Ивановна. Курс физики [Текст] : учебное пособие для инженерно-технических специальностей высших учебных заведений / Т. И. Трофимова, 2010. - 560 с."
53/Т761-785007,
53/Т761-946884,
54(075)/З-382-829273,
54(075)/З-382-829273,"Зеленин, Кирилл Николаевич. Химия [Текст] : Учебник для медицинских вузов / К. Н. Зеленин; К.Н.Зеленин, 1997. - 688 с."
54(075)/П625-059398,
54(075)/Х-768-246937,"Хомченко, Иван Гаврилович. Сборник задач и упражнений по химии для средней школы [Текст] / И.Г.Хомченко, 1997. - 221 с."
54(075.4)/Р982-423811,
54(075.4)/Х-768-285363,
54(075.8)/А954-613864,
54(075.8)/А954-613864,"Ахметов, Наиль Сибгатович. Общая и неорганическая химия [Текст] : учебник для студентов химико-технологических специальностей вузов / Н. С.Ахметов, 2001. - 743 с."
54(075.8)/А954-951892,
54(075.8)/К681-353231,
54/J44-671235,
54/M44-702457,
54/А153-684630948,
54/А193-826432,
54/А471-439387,
54/А640-121481,
54/А640-121481,"Аналитическая химия. Количественный химический анализ [Текст] : учебное пособие / О. К. Тихонова [и др.] ; под ред. О. К. Тихоновой ; рец.: Л. А. Зейле, Т. Н. Цыбукова, 2015. - 199 с."
54/А640-237440,
54/А640-237440,"Аналитическая химия. Количественный химический анализ [Текст] : учебное пособие / О. К. Тихонова [и др.] ; ред. О. К. Тихонова ; рец.: Л. А. Зейле, Т. Н. Цыбукова, 2015. - 200 с."
54/Б203-290229,
54/Б438-261940,
54/Б438-261940,"Белоусова, Надежда Ивановна. Тест-контроль по химии (общая, неорганическая и аналитическая химия) [Текст] : учебное пособие для студентов 1 курса медико-биологического факультета по специальности 060113 - медицинская биофизика и 060114 - медицинская кибернетика / Н. И. Белоусова, Т. А. Шевцова ; рец. Л. А. Зейле, 2009. - 36 с."
54/Б447-153777,
54/Б447-994014028,
54/Г542-207195,
54/Г542-588525,
54/Г542-689810,
54/Г542-743645,
54/Ж795-092267,
54/З-476-895850,
54/З476-082990,
54/З476-082990,"Зейле, Любовь Андреевна (химия ; 19500718). Химия [Текст] : учебное пособие к практическим занятиям для студентов 1 курса медико-биологического факультета медицинских вузов, обучающихся по специальностям: медицинская биохимия, медицинская биофизика, медицинская кибернетика : в 2 частях. Часть 2 : Неорганическая и аналитическая химия, 2019. - 110 с."
54/З476-694936,
54/З476-694936,"Зейле, Любовь Андреевна (химия ; 19500718). Химия [Текст] : учебное пособие к практическим занятиям для студентов 1 курса медико-биологического факультета медицинских вузов, обучающихся по специальностям: медицинская биохимия, медицинская биофизика, медицинская кибернетика : в 2 частях . Часть 1 : Общая химия, 2018. - 112 с."
54/З478-144166,
54/З478-144166,"Зейле, Любовь Андреевна (химия ; 19500718). Химия [Текст] : учебное пособие к практическим занятиям для студентов 1 курса медико-биологического факультета. - (Учебные пособия СибГМУ). Часть 1 : Общая химия, 2012. - 112 с."
54/З478-214386,
54/З478-214386,"Зейле, Любовь Андреевна (химия ; 19500718). Химия [Текст] : учебное пособие к практическим занятиям для студентов 1 курса медико-биологического факультета. - (Учебные пособия СибГМУ). Часть 1 : Общая химия, 2011. - 112 с."
54/З478-494351,
54/З478-494351,"Зейле, Любовь Андреевна. Химия [Текст] : учебное пособие : в 2 частях. - (Учебные пособия СибГМУ). Часть 2 : Неорганическая и аналитическая химия, 2012. - 110 с."
54/З966-460727,
54/З966-460727,"Зыкова, Мария Владимировна. Органическая химия. Классификация и номенклатура органических соединений [Текст] : учебное пособие для студентов, обучающихся по основным профессиональным образовательным программам высшего образования - программам специалиста по специальности ""Фармация"" / М. В. Зыкова, Г. А. Жолобова, О. Ф. Прищепова ; рец.: Т. В. Кадырова, Л. А. Дрыгунова, 2015. - 110 с."
54/З966-461850,
54/З966-461850,"Зыкова, Мария Владимировна. Органическая химия. Классификация и номенклатура органических соединений [Текст] : учебное пособие для студентов, обучающихся по основным профессиональным образовательным программам высшего образования - программам специалиста по специальности фармация / М. В. Зыкова, Г. А. Жолобова, О. Ф. Прищепова ; рец.: Т. В. Кадырова, Л. А. Дрыгунова, 2014. - 111 с."
54/З966-521604,
54/З966-521604,"Зыкова, Мария Владимировна. Органическая химия. Пространственное строение органических соединений [Текст] : учебное пособие для студентов, обучающихся по основным профессиональным образовательным программам высшего образования - программам специалиста по специальности ""Фармация"" / М. В. Зыкова, Г. А. Жолобова, О. Ф. Прищепова, 2016. - 86 с."
54/К651-718399,
54/К651-718399,"Контролирующие задания по общей и неорганической химии для студентов медиков [Текст] : учебное пособие для студентов, обучающихся по специальностям: 33.05.01 – Фармация, 31.05.01 – Лечебное дело, 31.05.03 – Стоматология, 30.05.01 – Медицинская биохимия, 30.05.02 – Медицинская биофизика, 30.05.03 – Медицинская кибернетика / И. А. Передерина [и др.] ; рец. М. В. Белоусов, 2021. - 89 с."
54/Л125-106812,
54/О280-242930,"Общая химия [Текст] : пособие для поступающих в вуз / М. Г. Лучинская [и др.], 2010. - 248 с."
54/О280-393778,
54/О280-479435,
54/О280-640332,
54/О280-640332,"Общая и неорганическая химия. Руководство к практическим занятиям [Текст] : учебно-методическое пособие для студентов, обучающихся по специальностям: 33.05.01 – Фармация, 31.05.01 – Лечебное дело, 31.05.03 – Стоматология / И. А. Передерина [и др.] ; рец. М. В. Белоусов, 2019. - 91 с."
54/О644-650502,
54/О753-140277,
54/П305-770525,
54/П305-770525,"Петров, Анатолий Александрович. Органическая химия [Текст] : учебник для студентов химико-технологических вузов и факультетов / А. А. Петров, Х. В. Бальян, А. Т. Трощенко ; под ред. М. Д. Стадничука, 2012. - 624 с."
54/П421-019830,
54/П421-019830,"Поверхностные явления [Текст] : учебное пособие по дисциплине ""физическая и коллоидная химия"" для самостоятельной подготовки студентов, обучающихся по специальности фармация (060108) / Л. И. Олишевец [и др.] ; рец. И. А. Передерина, 2014. - 83 с."
54/П576-133901,
54/П576-587714,
54/П691-539041,
54/П691-784699,
54/П691-836118,
54/П691-986006,
54/П882-367818,
54/С232-322158,
54/С232-486666489,
54/С232-621501,
54/С232-621501,"Сборник задач и упражнений по химии (общая, неорганическая и физико-коллоидная) [Текст] : учебное пособие / И. А. Передерина [и др.] ; рец. Е. Н. Тверякова, 2012. - 100 с."
54/С232-736080,
54/С232-736080,"Сборник задач и эталоны их решения по общей и неорганической химии [Текст] : учебно-методическое пособие для самостоятельной работы студентов, обучающихся по специальностям: 33.05.01 – Фармация, 31.05.01 – Лечебное дело, 31.05.03 – Стоматология / И. А. Передерина [и др.] ; рец. М. В. Белоусов, 2019. - 88 с."
54/С335-900224,"Сечко, Ольга Ивановна. Химия [Текст] : экспресс-курс подготовки к ЕГЭ / О. И. Сечко, 2015. - 223 с."
54/С473-068597,
54/С473-068597,"Слесарев, Валерий Иванович. Химия. Основы химии живого [Текст] : учебник для студентов высших учебных заведений, обучающихся по естественнонаучным направлениям и специальностям / В. И. Слесарев, 2015. - 784 с."
54/С473-068597,"Слесарев, Валерий Иванович. Химия: основы химии живого [Текст] : учебник для студентов высших учебных заведений, обучающихся по естественнонаучным направлениям и специальностям / В. И. Слесарев, 2015. - 784 с."
54/С473-422515,
54/С473-422515,"Слесарев, Валерий Иванович. Химия. Основы химии живого [Текст] : учебник для студентов высших учебных заведений, обучающихся по естественнонаучным направлениям и специальностям / В. И. Слесарев, 2007. - 784 с."
54/С473-592283,
54/С473-592283,"Слесарев, Валерий Иванович. Химия. Основы химии живого [Текст] : учебник для студентов высших учебных заведений, обучающихся по естественнонаучным направлениям и специальностям / В. И. Слесарев, 2005. - 784 с."
54/С474-175171962,
54/С474-175171962,"Слесарев, Валерий Иванович. Химия. Основы химии живого [Текст] : учебник для студентов высших учебных заведений, обучающихся по естественнонаучным направлениям и специальностям / В. И. Слесарев ; рец.: Н. В. Зык, А. С. Берлянд, 2018. - 784 с."
54/Т367-551794,
54/Т367-551794,"Тестовые задания по химии. Общая и неорганическая химия [Текст] : учебное пособие для студентов, обучающихся по специальностям высшего профессионального образования группы Здравоохранения / И. А. Передерина [и др.], 2012. - 84 с."
54/Т367-758148,
54/Т367-758148,"Тестовые задания по химии. Общая и неорганическая химия [Текст] : учебное пособие для студентов, обучающихся по специальностям высшего профессионального образования группы Здравоохранения / И. А. Передерина [и др.], 2011. - 84 с."
54/Ф503-873512,
54/Ф505-194394,
54/Ф505-495940,
54/Ф505-837775,
54/Ф505-837775,"Физическая и коллоидная химия [Текст] : учебное пособие / Л. И. Олишевец [и др.] ; рец. И. А. Передерина, 2011. - 99 с."
54/Ф531-204339,
54/Ф531-204339,"Филимонова, Ирма Леонидовна. Учебное пособие по химии для самостоятельной работы студентов врачебных и медико-биологических факультетов [Текст] : учебно-методическое пособие для студентов, обучающихся по направлению подготовки 31.05.01 – Лечебное дело, 31.05.03 – Стоматология, 31.05.02 – Педиатрия, 30.05.02 – Медицинская биофизика / И. Л. Филимонова, Г. А. Жолобова, А. С. Галактионова ; рец. М. Л. Белянин, 2021. - 92 с."
54/Х206-374921,
54/Х206-374921,"Харитонов, Юрий Яковлевич. Аналитическая химия. Аналитика [Текст] : учебник для студентов вузов, обучающихся по фармацевтическим и нехимическим специальностям : в 2 книгах. Книга 2 : Количественный анализ. Физико-химические (инструментальные) методы анализа, 2005. - 559 с."
54/Х206-673562,
54/Х206-673562,"Харитонов, Юрий Яковлевич. Аналитическая химия. Аналитика [Текст] : учебник для студентов вузов, обучающихся по фармацевтическим и нехимическим специальностям: в 2 книгах. Книга 1 : Общие теоретические основы. Качественный анализ, 2005. - 615 с."
54/Х206-812440,
54/Х206-945396,
54/Х207-196101,
54/Х207-196101,"Харитонов, Юрий Яковлевич. Физическая химия [Текст] : учебник для студентов учреждений высшего профессионального образования, обучающихся по специальности 060108.65 ""Фармация"" дисциплины ""Физическая и коллоидная химия"" / Ю. Я. Харитонов, 2009. - 608 с."
54/Х207-303307,
54/Х207-312519,
54/Х465-965371,"Химия [Текст] : пособие-репетитор для поступающих в вузы / ред. : А. С. Егоров, 2004. - 768 с."
54/Х768-635080,
54/Ц937-557718318,"Цыбукова, Татьяна Николаевна. Лекции по общей и неорганической химии [Текст] : учебно-методическое пособие для студентов заочного отделения фармацевтического факультета / Т. Н. Цыбукова ; ред. М. С. Юсубов ; рец.: А. А. Плакидкин, В. А. Батырева, 2010. - 135 с."
54/Ц937-667498,
540(075)/Ц937-962729,
541(045)/У240-557591,
541.1/Б447-779286,
541.1/О547-080195,
541.1/О547-080195,"Олишевец, Людмила Ивановна. Физическая химия [Текст] : курс лекций / Л. И. Олишевец, 2006. - 144 с."
541.1/О547-355831,
541.1/Ф505-020288,
541.18/О547-999579,
541/Б203-601453572,
541/Г326-281272,
541/М931-239064,
541/Р126-349415,
543/К309-749266,
543/Т464-903748,
543/Т464-903748,"Тихонова, Ольга Кенсориновна. Учебное пособие по аналитической химии. Качественный анализ [Текст] : учебное пособие для студентов, обучающихся по специальности 060108 (040500) - Фармация / О. К. Тихонова, Н. И. Белоусова, Т. А. Шевцова ; ред. М. С. Юсубов, 2009. - 151 с."
543/Х206-062367,
543/Х206-621571,
543/Х206-636890,
543/Х206-800609,
546/Т367-730378,
547(075)/0-644-832627,
547/А640-485594,
547/А640-485594,"Анализ органических соединений [Текст] : учебное пособие для студентов, обучающихся по специальностям высшего профессионального образования группы Здравоохранения / А. С. Галактионова [и др.] ; рец. Е. Н. Тверякова, 2013. - 88 с."
547/З946-401465,
547/О641-042571,
547/О641-363621,
547/О641-363621,"Органическая химия [Текст] : учебник для студентов высших учебных заведений, обучающихся по специальности ""Фармация"" : в 2 книгах / В. Л. Белобородов [и др.] ; под ред. Н. А. Тюкавкиной ; Московская медицинская академия им. И. М. Сеченова МЗ РФ (М.). - (Высшее образование: современный учебник). Книга 1 : Основной курс, 2008. - 638 с."
547/О641-365768,
547/О641-365768,"Органическая химия [Текст] : учебник для студентов высших учебных заведений, обучающихся по специальности ""Фармация"" : в 2 книгах / Н. А. Тюкавкина [и др.] ; под ред. Н. А. Тюкавкиной. - (Высшее образование: современный учебник). Книга 2 : Специальный курс, 2009. - 592 с."
547/О641-711204,
547/О644-014552848,
547/О644-314051,
547/Ю910-663324,
57(075)/Б634-939668,
57(075)/С498-999102,
57(075.8)/С498-350508,
57(075.8)/С498-765978,
57(075.8)/С498-765978,"Слюсарев, Аркадий Александрович. Биология с общей генетикой [Текст] : учебник для студентов медицинских институтов / А. А. Слюсарев, 2012. - 472 с."
57(075.8)/С498-765978,"Слюсарев, Аркадий Александрович. Биология с общей генетикой [Текст] : учебник для студентов медицинских институтов / А. А. Слюсарев, 2012. - 472 с. ; [4] л. ил. с."
57-236737,
57/C722-734810,
57/C722-734810,"Спирина, Людмила Викторовна. Медицинская биохимия: биохимия злокачественного роста. Избранные лекции [Текст] : учебное пособие для подготовки к практическим занятиям по Медицинской биохимии для студентов медико-биологического факультета по специальности 30.05.01 – Медицинская биохимия: биохимия злокачественного роста / Л. В. Спирина, Н. В. Юнусова ; под ред. В. Ю. Сереброва ; рец. С. Н. Тамкович, 2021. - 145 с."
57/А180-645162381,
57/А441-164203,
57/Б634-026256,
57/Б634-087006,
57/Б634-166621,
57/Б634-197514,
57/Б634-276057,
57/Б634-291461,
57/Б634-299882,
57/Б634-442928,
57/Б634-514005,
57/Б634-575688,
57/Б634-575688,"Биология. Углубленный курс [Текст] : учебник для студентов медицинских специальностей высших учебных заведений / В. Н. Ярыгин [и др.] ; ред. В. Н. Ярыгин, 2012. - 763 с."
57/Б634-587964,
57/Б634-587964,"Биология [Текст] : учебное пособие для студентов факультетов высшего сестринского образования и фармацевтических факультетов / Н. В. Чебышев [и др.] ; ред. : Н. В. Чебышев, 2005. - 592 с."
57/Б634-637406,
57/В453-097950891,
57/Г745-852502615,
57/Г850-688436,
57/Д138-966669895,
57/Л191-917305,"Лакин, Георгий Филиппович. Биометрия [Текст] : учебное пособие для студентов биологических специальностей вузов / Г. Ф. Лакин, 1980. - 293 с."
57/Л191-941624,
57/М422-653089,
57/М422-873052,
57/О753-505003927,
57/П316-404072,
57/П316-404072,"Пехов, Александр Петрович. Биология: медицинская биология, генетика и паразитология [Текст] : учебник для студентов медицинских вузов / А. П. Пехов, 2011. - 656 с."
57/П316-425362,
57/П316-425362,"Пехов, Александр Петрович. Биология: медицинская биология, генетика и паразитология [Текст] : учебник для студентов медицинских вузов / А. П. Пехов, 2012. - 656 с."
57/П316-571116,
57/П316-571116,"Пехов, Александр Петрович. Биология: медицинская биология, генетика и паразитология [Текст] : учебник для студентов медицинских вузов / А. П. Пехов, 2014. - 656 с."
57/П691-275012,
57/С862-244082,
57/С862-632734,
57/Т304-022654,
57/Т304-568591,
57/Х870-293110,
57/Х870-293110,"Хоч, Надежда Семеновна. Рабочая тетрадь по антропологии [Текст] : учебно-методическое пособие / Н. С. Хоч, 2017. - 59 с."
573/М420-239030,
574.4/А471-593707,
574/Б400-251727143,
574/Б634-332651,
574/Б634-332651,"Биология [Текст] : в 2 книгах / В. Н. Ярыгин [и др.] ; ред. В. Н. Ярыгин. Книга 1 : Жизнь. Гены. Клетка. Онтогенез. Человек, 2000. - 448 с."
574/Б634-841766,"Биология [Текст] : в 2 книгах / В. Н. Ярыгин [и др.] ; ред. В. Н. Ярыгин. Книга 2 : Эволюция. Экосистема. Биосфера. Человечество, 2000. - 352 с."
574/К612-221822,
574/К612-221822,"Коломиец, Наталья Эдуардовна. Фармацевтическая экология [Текст] : учебное пособие для студентов фармацевтических факультетов, обучающихся по направлению подготовки ""Фармация"" / Н. Э. Коломиец, Т. В. Полуэктова, Н. Ю. Абрамец ; рец. Н. Г. Никифорова, 2021. - 175 с."
574/К612-869280,
574/К612-869280,"Коломиец, Наталья Эдуардовна. Основы экологии, охраны и рационального использования природных ресурсов [Текст] : учебное пособие для студентов фармацевтических факультетов, обучающихся по направлению подготовки ""Фармация"" / Н. Э. Коломиец, Т. В. Полуэктова, Н. Ю. Абрамец ; рец. Н. Г. Никифорова, 2021. - 197 с."
574/Л380-373784,
575.1/.8/С168-460328,
575.1/Г345-564799,"Геномика - медицине [Текст] : монография / ред.: В. И. Иванов, Л. Л. Киселев, 2005. - 392 с."
575.1/М422-855744,"Медицинская и клиническая генетика для стоматологов [Текст] : учебное пособие для студентов медицинских вузов / ред. : О. О. Янушевич, 2008. - 400 с."
575.1/Н191-393117,"Назаренко, Сергей Андреевич. Цитогенетика человека и хромосомные болезни [Текст] : учебно-методический комплекс / С. А. Назаренко, Ю. С. Яковлева, 2001. - 84 с."
575.17/К959-029787,
575.191/Г497-573753,"Гинтер, Евгений Константинович. Медицинская генетика [Текст] : учебник для студентов медицинских вузов / Е. К. Гинтер, 2003. - 448 с."
575.22/Н191-560685,"Назаренко, Людмила Павловна. Клинико-генеалогический анализ и области его применения [Текст] : Учебно-методическое пособие для системы послевузовского профессионального образования врачей / Л. П.Назаренко, О. А.Салюкова, 2004. - 56 с."
575.22/Н191-729539,"Назаренко, Сергей Андреевич. Однородительские дисомии и болезни геномного импринтинга [Текст] : учебно-методическое пособие / С. А. Назаренко, Е. А. Саженова ; ред. В. П. Пузырев, 2004. - 38 с."
575/P61-446190,
575/P61-446190,"Pierce, Benjamin A. Genetics Essentials [Текст] : concepts and connections / Benjamin A. Pierce, 2016. - 500, [25] p."
575/T67-577248948,
575/Г147-844226,
575/Г340-780027,
575/Г340-905066,
575/Г421-670520,
575/Д792-111155544,
575/Д792-950183,
575/З382-501615,"Захаров-Гезехус, Илья Артемьевич. Моя генетика [Текст] : монография / И. А. Захаров-Гезехус, 2014. - 133 с. ; [4] л. ил. с."
575/К159-327997,
575/Н938-388228,
575/П882-745797,"Пузырев, Валерий Павлович. Патологическая анатомия генома человека [Текст] : монография / В. П. Пузырев, В. А. Степанов, 1997. - 224 с."
575/Р495-846134,"Ридли, Мэтт. Геном: автобиография вида в 23 главах [Текст] : пер. с англ. / М. Ридли, 2008. - 432 с."
575/С232-994806,
576.04/П337-384528,
576.3/G85-651441400,
576.3/М341-469127,
576.3/М341-469127,"Материал и методы клинической цитологии [Текст] : учебное пособие для обучающихся по основным образовательным программам высшего профессионального образования - подготовки кадров высшей квалификации по программам ординатуры по специальности ""Клиническая лабораторная диагностика"" / А. П. Зима [и др.] ; рец. И. В. Суходоло, 2014. - 98 с."
576.3/Р329-175143,
576.3/Х-993-271616,"Хэм, Артур. Гистология [Текст] : в 5-ти томах : пер. с англ. Том 3 : Системы тканей : продолжение, 1983. - 293 с."
576.3/Х993-095811,"Хэм, Артур. Гистология [Текст] : в 5-ти томах : пер. с англ. Том 4 : Системы организма, 1983. - 244 с."
576.3/Х993-144663,"Хэм, Артур. Гистология [Текст] : в 5-ти томах : пер. с англ. Том 2 : Системы тканей, 1983. - 254 с."
