,id_book,name_book
50,4И(Англ.)/Д456-111768078,"диксон,ричард.говоритепо-английскиучебноепособиедлястудентовнеязыковыхвузов/р.диксон,1969.-269с."
51,4И(Нем)/А877-265474507,"архипов,германборисович.пособиепообучениючтениюнанемецкомязыкедлятехническихвузовхимико-технологическогопрофиляучебноепособиедлястудентовхимико-технологическихспециальностейвузов/г.б.архипов,л.в.егорева,1983.-96с."
54,4И(Нем)/Б948-288939,"бушина,ларисамихайловна.учебникнемецкогоязыкадлямедицинскихвузовучебникдлястудентовмедицинскихвузов/л.м.бушина,л.н.елисеева,в.я.яцковская,1984.-319с."
56,4И(Нем)/К642-478913,"кондратьева,виолеттаалександровна.немецкийязыкдлястудентов-медиковучебникдлямедицинскихвузов/в.а.кондратьева,л.н.григорьева,т.в.терновская,1985.-400с."
58,4И(Нем)/К642-929589,"кондратьева,виолеттаалександровна.пособиепоразвитиюнавыковчтениянанемецкомязыкедлямедицинскихвузовучебноепособиедлястудентовмедицинскихвузов/в.а.кондратьева,1980.-144с."
63,4И(англ)/И253-505863,"ивина,татьянаниколаевна.englishforstudentsofpharmaceuticalinstitutesучебноепособиедлястудентовфармацевтическихинститутовифакультетов/т.н.ивина,л.м.галькевич,и.а.зенькова,1980.-128с."
64,4И(англ)/И253-505863,"ивина,татьянаниколаевна.englishforstudentsofpharmaceuticalinstitutesучебноепособиедлястудентовфармацевтическихинститутовифакультетов/т.н.ивина,л.м.галькевич,и.а.зенькова,1980.-128с."
69,4И(англ)/Ч121-085511,"чабнер,дэви-эллен.языкмедициныпособиепоанглийскомуязыкудлямедицинскихвузов/д.э.чабнер,1981.-431с."
70,4И(англ)/Ч121-085511,"чабнер,дэви-эллен.языкмедициныпособиепоанглийскомуязыкудлямедицинскихвузов/д.э.чабнер,1981.-431с."
79,5/Г963-554323,"гусейханов,магомедбагкагирович.концепциисовременногоестествознанияучебникдлястудентоввысшихучебныхзаведений/м.к.гусейханов,2011.-598с."
81,51/Г559-625382,"гмурман,владимирефимович.теориявероятностейиматематическаястатистикаучебноепособиедлястудентоввузов/в.е.гмурман,2009.-479с."
83,51/Г559-639809,"гмурман,владимирефимович.руководствокрешениюзадачпотеориивероятностейиматематическойстатистикеучебноепособиедлястудентоввузов/в.е.гмурман,2009.-404с."
86,51/Д186-826406,"данко,павелефимович.высшаяматематикавупражненияхизадачахучебноепособиедлястудентоввысшихтехническихучебныхзаведений:в2-хчастях.часть1,1986"
96,51/С232-348713390,"сборникзадачпоматематикедлявтузовучебноепособиедлястудентовинженерно-техническихспециальностейвузов/ред.:а.в.ефимов,б.п.демидович.часть1:линейнаяалгебраиосновыматематическогоанализа,1981.-464с."
100,51/С232-866858360,"сборникзадачпоматематикедлявтузовучебноепособиедлястудентовинженерно-техническихспециальностейвузов/ред.:а.в.ефимов,б.п.демидович.часть2:специальныеразделыматематическогоанализа,1981.-368с."
101,51/Т191-453668398,"тарасов,николайпетрович.курсвысшейматематикидлятехникумовучебникдлясреднихспециальныхучебныхзаведений/н.п.тарасов,1975.-432с."
104,51/Ч492-885173,"черникова,еленавладимировна.математика(теоретическийкурс)учебноепособиеподисциплине""математика""длястудентов,обучающихсяпоспециальностисоциальнаяработа/е.в.черникова,м.б.аржаник,р.а.манешева;рец.в.в.кулагина,2014.-144с."
107,516/Д186-335228,"данко,павелефимович.высшаяматематикавупражненияхизадачахучебноепособиедлястудентоввысшихтехническихучебныхзаведений:в2-хчастях.часть2,1986"
112,517/П350-625121,"письменный,дмитрийтрофимович.конспектлекцийповысшейматематике.полныйкурсучебноепособиедлястудентоввысшихучебныхзаведений/дмитрийписьменный,2009.-608с."
115,519/С781-483473,"статистическиеметодыдляэвмпер.сангл./к.энслейн,г.о.хартли,р.р.хокинг,1986.-459с."
120,53/P59-128237,"physics:mechanicsonthediscipline""physics,mathematics""inaccordancewiththetrainingprogramofforeignstudentsenrolledinthe""generalmedicine""speciality(bilingualeducationsystem)/l.a.krasnobaeva[etal.];rev.:o.n.sulakshina,2017.-81p."
122,53/Б241-679684967,"баранов,александрпетрович.сборникзадачивопросовпомедицинскойфизикеучебноепособиедлястудентовмедицинскихинститутов/а.п.баранов,г.м.рогачев,1982.-190с."
133,53/Т761-666940,"трофимова,таисияивановна.курсфизикиучебноепособиедляинженерно-техническихспециальностейвысшихучебныхзаведений/т.и.трофимова,2010.-560с."
137,54(075)/З-382-829273,"зеленин,кириллниколаевич.химияучебникдлямедицинскихвузов/к.н.зеленин;к.н.зеленин,1997.-688с."
139,54(075)/Х-768-246937,"хомченко,ивангаврилович.сборникзадачиупражненийпохимиидлясреднейшколы[текст]/и.г.хомченко,1997.-221с."
143,54(075.8)/А954-613864,"ахметов,наильсибгатович.общаяинеорганическаяхимияучебникдлястудентовхимико-технологическихспециальностейвузов/н.с.ахметов,2001.-743с."
152,54/А640-121481,"аналитическаяхимия.количественныйхимическийанализучебноепособие/о.к.тихонова[идр.];подред.о.к.тихоновой;рец.:л.а.зейле,т.н.цыбукова,2015.-199с."
154,54/А640-237440,"аналитическаяхимия.количественныйхимическийанализучебноепособие/о.к.тихонова[идр.];ред.о.к.тихонова;рец.:л.а.зейле,т.н.цыбукова,2015.-200с."
157,54/Б438-261940,"белоусова,надеждаивановна.тест-контрольпохимии(общая,неорганическаяианалитическаяхимия)учебноепособиедлястудентов1курсамедико-биологическогофакультетапоспециальности060113-медицинскаябиофизикаи060114-медицинскаякибернетика/н.и.белоусова,т.а.шевцова;рец.л.а.зейле,2009.-36с."
167,54/З476-082990,"зейле,любовьандреевна(химия;19500718).химияучебноепособиекпрактическимзанятиямдлястудентов1курсамедико-биологическогофакультетамедицинскихвузов,обучающихсяпоспециальностям:медицинскаябиохимия,медицинскаябиофизика,медицинскаякибернетика:в2частях.часть2:неорганическаяианалитическаяхимия,2019.-110с."
169,54/З476-694936,"зейле,любовьандреевна(химия;19500718).химияучебноепособиекпрактическимзанятиямдлястудентов1курсамедико-биологическогофакультетамедицинскихвузов,обучающихсяпоспециальностям:медицинскаябиохимия,медицинскаябиофизика,медицинскаякибернетика:в2частях.часть1:общаяхимия,2018.-112с."
171,54/З478-144166,"зейле,любовьандреевна(химия;19500718).химияучебноепособиекпрактическимзанятиямдлястудентов1курсамедико-биологическогофакультета.-(учебныепособиясибгму).часть1:общаяхимия,2012.-112с."
173,54/З478-214386,"зейле,любовьандреевна(химия;19500718).химияучебноепособиекпрактическимзанятиямдлястудентов1курсамедико-биологическогофакультета.-(учебныепособиясибгму).часть1:общаяхимия,2011.-112с."
175,54/З478-494351,"зейле,любовьандреевна.химияучебноепособие:в2частях.-(учебныепособиясибгму).часть2:неорганическаяианалитическаяхимия,2012.-110с."
177,54/З966-460727,"зыкова,мариявладимировна.органическаяхимия.классификацияиноменклатураорганическихсоединенийучебноепособиедлястудентов,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммамвысшегообразования-программамспециалистапоспециальности""фармация""/м.в.зыкова,г.а.жолобова,о.ф.прищепова;рец.:т.в.кадырова,л.а.дрыгунова,2015.-110с."
179,54/З966-461850,"зыкова,мариявладимировна.органическаяхимия.классификацияиноменклатураорганическихсоединенийучебноепособиедлястудентов,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммамвысшегообразования-программамспециалистапоспециальностифармация/м.в.зыкова,г.а.жолобова,о.ф.прищепова;рец.:т.в.кадырова,л.а.дрыгунова,2014.-111с."
181,54/З966-521604,"зыкова,мариявладимировна.органическаяхимия.пространственноестроениеорганическихсоединенийучебноепособиедлястудентов,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммамвысшегообразования-программамспециалистапоспециальности""фармация""/м.в.зыкова,г.а.жолобова,о.ф.прищепова,2016.-86с."
183,54/К651-718399,"контролирующиезаданияпообщейинеорганическойхимиидлястудентовмедиковучебноепособиедлястудентов,обучающихсяпоспециальностям:33.05.01–фармация,31.05.01–лечебноедело,31.05.03–стоматология,30.05.01–медицинскаябиохимия,30.05.02–медицинскаябиофизика,30.05.03–медицинскаякибернетика/и.а.передерина[идр.];рец.м.в.белоусов,2021.-89с."
185,54/О280-242930,"общаяхимияпособиедляпоступающихввуз/м.г.лучинская[идр.],2010.-248с."
189,54/О280-640332,"общаяинеорганическаяхимия.руководствокпрактическимзанятиямучебно-методическоепособиедлястудентов,обучающихсяпоспециальностям:33.05.01–фармация,31.05.01–лечебноедело,31.05.03–стоматология/и.а.передерина[идр.];рец.м.в.белоусов,2019.-91с."
193,54/П305-770525,"петров,анатолийалександрович.органическаяхимияучебникдлястудентовхимико-технологическихвузовифакультетов/а.а.петров,х.в.бальян,а.т.трощенко;подред.м.д.стадничука,2012.-624с."
195,54/П421-019830,"поверхностныеявленияучебноепособиеподисциплине""физическаяиколлоиднаяхимия""длясамостоятельнойподготовкистудентов,обучающихсяпоспециальностифармация(060108)/л.и.олишевец[идр.];рец.и.а.передерина,2014.-83с."
206,54/С232-621501,"сборникзадачиупражненийпохимии(общая,неорганическаяифизико-коллоидная)учебноепособие/и.а.передерина[идр.];рец.е.н.тверякова,2012.-100с."
208,54/С232-736080,"сборникзадачиэталоныихрешенияпообщейинеорганическойхимииучебно-методическоепособиедлясамостоятельнойработыстудентов,обучающихсяпоспециальностям:33.05.01–фармация,31.05.01–лечебноедело,31.05.03–стоматология/и.а.передерина[идр.];рец.м.в.белоусов,2019.-88с."
209,54/С335-900224,"сечко,ольгаивановна.химияэкспресс-курсподготовкикегэ/о.и.сечко,2015.-223с."
211,54/С473-068597,"слесарев,валерийиванович.химия.основыхимииживогоучебникдлястудентоввысшихучебныхзаведений,обучающихсяпоестественнонаучнымнаправлениямиспециальностям/в.и.слесарев,2015.-784с."
212,54/С473-068597,"слесарев,валерийиванович.химия.основыхимииживогоучебникдлястудентоввысшихучебныхзаведений,обучающихсяпоестественнонаучнымнаправлениямиспециальностям/в.и.слесарев,2015.-784с."
214,54/С473-422515,"слесарев,валерийиванович.химия.основыхимииживогоучебникдлястудентоввысшихучебныхзаведений,обучающихсяпоестественнонаучнымнаправлениямиспециальностям/в.и.слесарев,2007.-784с."
216,54/С473-592283,"слесарев,валерийиванович.химия.основыхимииживогоучебникдлястудентоввысшихучебныхзаведений,обучающихсяпоестественнонаучнымнаправлениямиспециальностям/в.и.слесарев,2005.-784с."
218,54/С474-175171962,"слесарев,валерийиванович.химия.основыхимииживогоучебникдлястудентоввысшихучебныхзаведений,обучающихсяпоестественнонаучнымнаправлениямиспециальностям/в.и.слесарев;рец.:н.в.зык,а.с.берлянд,2018.-784с."
220,54/Т367-551794,"тестовыезаданияпохимии.общаяинеорганическаяхимияучебноепособиедлястудентов,обучающихсяпоспециальностямвысшегопрофессиональногообразованиягруппыздравоохранения/и.а.передерина[идр.],2012.-84с."
222,54/Т367-758148,"тестовыезаданияпохимии.общаяинеорганическаяхимияучебноепособиедлястудентов,обучающихсяпоспециальностямвысшегопрофессиональногообразованиягруппыздравоохранения/и.а.передерина[идр.],2011.-84с."
227,54/Ф505-837775,"физическаяиколлоиднаяхимияучебноепособие/л.и.олишевец[идр.];рец.и.а.передерина,2011.-99с."
229,54/Ф531-204339,"филимонова,ирмалеонидовна.учебноепособиепохимиидлясамостоятельнойработыстудентовврачебныхимедико-биологическихфакультетовучебно-методическоепособиедлястудентов,обучающихсяпонаправлениюподготовки31.05.01–лечебноедело,31.05.03–стоматология,31.05.02–педиатрия,30.05.02–медицинскаябиофизика/и.л.филимонова,г.а.жолобова,а.с.галактионова;рец.м.л.белянин,2021.-92с."
231,54/Х206-374921,"харитонов,юрийяковлевич.аналитическаяхимия.аналитикаучебникдлястудентоввузов,обучающихсяпофармацевтическиминехимическимспециальностям:в2книгах.книга2:количественныйанализ.физико-химические(инструментальные)методыанализа,2005.-559с."
233,54/Х206-673562,"харитонов,юрийяковлевич.аналитическаяхимия.аналитикаучебникдлястудентоввузов,обучающихсяпофармацевтическиминехимическимспециальностям:в2книгах.книга1:общиетеоретическиеосновы.качественныйанализ,2005.-615с."
237,54/Х207-196101,"харитонов,юрийяковлевич.физическаяхимияучебникдлястудентовучрежденийвысшегопрофессиональногообразования,обучающихсяпоспециальности060108.65""фармация""дисциплины""физическаяиколлоиднаяхимия""/ю.я.харитонов,2009.-608с."
240,54/Х465-965371,"химияпособие-репетитордляпоступающихввузы/ред.:а.с.егоров,2004.-768с."
242,54/Ц937-557718318,"цыбукова,татьянаниколаевна.лекциипообщейинеорганическойхимииучебно-методическоепособиедлястудентовзаочногоотделенияфармацевтическогофакультета/т.н.цыбукова;ред.м.с.юсубов;рец.:а.а.плакидкин,в.а.батырева,2010.-135с."
248,541.1/О547-080195,"олишевец,людмилаивановна.физическаяхимиякурслекций/л.и.олишевец,2006.-144с."
258,543/Т464-903748,"тихонова,ольгакенсориновна.учебноепособиепоаналитическойхимии.качественныйанализучебноепособиедлястудентов,обучающихсяпоспециальности060108(040500)-фармация/о.к.тихонова,н.и.белоусова,т.а.шевцова;ред.м.с.юсубов,2009.-151с."
266,547/А640-485594,"анализорганическихсоединенийучебноепособиедлястудентов,обучающихсяпоспециальностямвысшегопрофессиональногообразованиягруппыздравоохранения/а.с.галактионова[идр.];рец.е.н.тверякова,2013.-88с."
270,547/О641-363621,"органическаяхимияучебникдлястудентоввысшихучебныхзаведений,обучающихсяпоспециальности""фармация"":в2книгах/в.л.белобородов[идр.];подред.н.а.тюкавкиной;московскаямедицинскаяакадемияим.и.м.сеченовамзрф(м.).-(высшееобразование:современныйучебник).книга1:основнойкурс,2008.-638с."
272,547/О641-365768,"органическаяхимияучебникдлястудентоввысшихучебныхзаведений,обучающихсяпоспециальности""фармация"":в2книгах/н.а.тюкавкина[идр.];подред.н.а.тюкавкиной.-(высшееобразование:современныйучебник).книга2:специальныйкурс,2009.-592с."
281,57(075.8)/С498-765978,"слюсарев,аркадийалександрович.биологиясобщейгенетикойучебникдлястудентовмедицинскихинститутов/а.а.слюсарев,2012.-472с."
282,57(075.8)/С498-765978,"слюсарев,аркадийалександрович.биологиясобщейгенетикойучебникдлястудентовмедицинскихинститутов/а.а.слюсарев,2012.-472с."
285,57/C722-734810,"спирина,людмилавикторовна.медицинскаябиохимия:биохимиязлокачественногороста.избранныелекцииучебноепособиедляподготовкикпрактическимзанятиямпомедицинскойбиохимиидлястудентовмедико-биологическогофакультетапоспециальности30.05.01–медицинскаябиохимия:биохимиязлокачественногороста/л.в.спирина,н.в.юнусова;подред.в.ю.сереброва;рец.с.н.тамкович,2021.-145с."
298,57/Б634-575688,"биология.углубленныйкурсучебникдлястудентовмедицинскихспециальностейвысшихучебныхзаведений/в.н.ярыгин[идр.];ред.в.н.ярыгин,2012.-763с."
300,57/Б634-587964,"биологияучебноепособиедлястудентовфакультетоввысшегосестринскогообразованияифармацевтическихфакультетов/н.в.чебышев[идр.];ред.:н.в.чебышев,2005.-592с."
306,57/Л191-917305,"лакин,георгийфилиппович.биометрияучебноепособиедлястудентовбиологическихспециальностейвузов/г.ф.лакин,1980.-293с."
312,57/П316-404072,"пехов,александрпетрович.биология:медицинскаябиология,генетикаипаразитологияучебникдлястудентовмедицинскихвузов/а.п.пехов,2011.-656с."
314,57/П316-425362,"пехов,александрпетрович.биология:медицинскаябиология,генетикаипаразитологияучебникдлястудентовмедицинскихвузов/а.п.пехов,2012.-656с."
316,57/П316-571116,"пехов,александрпетрович.биология:медицинскаябиология,генетикаипаразитологияучебникдлястудентовмедицинскихвузов/а.п.пехов,2014.-656с."
323,57/Х870-293110,"хоч,надеждасеменовна.рабочаятетрадьпоантропологииучебно-методическоепособие/н.с.хоч,2017.-59с."
328,574/Б634-332651,"биологияв2книгах/в.н.ярыгин[идр.];ред.в.н.ярыгин.книга1:жизнь.гены.клетка.онтогенез.человек,2000.-448с."
329,574/Б634-841766,"биологияв2книгах/в.н.ярыгин[идр.];ред.в.н.ярыгин.книга2:эволюция.экосистема.биосфера.человечество,2000.-352с."
331,574/К612-221822,"коломиец,натальяэдуардовна.фармацевтическаяэкологияучебноепособиедлястудентовфармацевтическихфакультетов,обучающихсяпонаправлениюподготовки""фармация""/н.э.коломиец,т.в.полуэктова,н.ю.абрамец;рец.н.г.никифорова,2021.-175с."
333,574/К612-869280,"коломиец,натальяэдуардовна.основыэкологии,охраныирациональногоиспользованияприродныхресурсовучебноепособиедлястудентовфармацевтическихфакультетов,обучающихсяпонаправлениюподготовки""фармация""/н.э.коломиец,т.в.полуэктова,н.ю.абрамец;рец.н.г.никифорова,2021.-197с."
336,575.1/Г345-564799,"геномика-медицинемонография/ред.:в.и.иванов,л.л.киселев,2005.-392с."
337,575.1/М422-855744,"медицинскаяиклиническаягенетикадлястоматологовучебноепособиедлястудентовмедицинскихвузов/ред.:о.о.янушевич,2008.-400с."
338,575.1/Н191-393117,"назаренко,сергейандреевич.цитогенетикачеловекаихромосомныеболезниучебно-методическийкомплекс/с.а.назаренко,ю.с.яковлева,2001.-84с."
340,575.191/Г497-573753,"гинтер,евгенийконстантинович.медицинскаягенетикаучебникдлястудентовмедицинскихвузов/е.к.гинтер,2003.-448с."
341,575.22/Н191-560685,"назаренко,людмилапавловна.клинико-генеалогическийанализиобластиегопримененияучебно-методическоепособиедлясистемыпослевузовскогопрофессиональногообразованияврачей/л.п.назаренко,о.а.салюкова,2004.-56с."
342,575.22/Н191-729539,"назаренко,сергейандреевич.однородительскиедисомиииболезнигеномногоимпринтингаучебно-методическоепособие/с.а.назаренко,е.а.саженова;ред.в.п.пузырев,2004.-38с."
344,575/P61-446190,"pierce,benjamina.geneticsessentialsconceptsandconnections/benjamina.pierce,2016.-500,[25]p."
352,575/З382-501615,"захаров-гезехус,ильяартемьевич.моягенетикамонография/и.а.захаров-гезехус,2014.-133с.;[4]л.ил.с."
355,575/П882-745797,"пузырев,валерийпавлович.патологическаяанатомиягеномачеловекамонография/в.п.пузырев,в.а.степанов,1997.-224с."
356,575/Р495-846134,"ридли,мэтт.геном:автобиографиявидав23главахпер.сангл./м.ридли,2008.-432с."
361,576.3/М341-469127,"материалиметодыклиническойцитологииучебноепособиедляобучающихсяпоосновнымобразовательнымпрограммамвысшегопрофессиональногообразования-подготовкикадроввысшейквалификациипопрограммамординатурыпоспециальности""клиническаялабораторнаядиагностика""/а.п.зима[идр.];рец.и.в.суходоло,2014.-98с."
363,576.3/Х-993-271616,"хэм,артур.гистологияв5-титомах:пер.сангл.том3:системытканей:продолжение,1983.-293с."
364,576.3/Х993-095811,"хэм,артур.гистологияв5-титомах:пер.сангл.том4:системыорганизма,1983.-244с."
365,576.3/Х993-144663,"хэм,артур.гистологияв5-титомах:пер.сангл.том2:системытканей,1983.-254с."
366,576.3/Х993-206583,"хэм,артур.гистологияв5-титомах:пер.сангл.том5:системыорганизма:продолжение,1983.-294с."
367,576.3/Х993-968856,"хэм,артур.гистологияв5-титомах:пер.сангл.том1:введение.биологияклетки,1983.-272с."
375,576.8/М422-814393,"медицинскаямикробиологияэффективнаясистемаизученияматериала.500вопросовиответовспояснениями.справочник/ред.в.и.покровский,ред.о.к.поздеев,1998.-1200с."
384,576.8/П471-659406,"поздеев,оскаркимович.медицинскаямикробиологияучебноепособиедлястудентовмедицинскихвузов/о.к.поздеев;подред.в.и.покровского,2010.-768с.;[8]л.ил.с."
393,576/П471-136028,"поздеев,оскаркимович.медицинскаямикробиологияучебноепособиедлястудентовмедицинскихвузов/о.к.поздеев;ред.:в.и.покровский,2008.-768с."
394,576/П471-136028,"поздеев,оскаркимович.медицинскаямикробиологияучебноепособиедлястудентовмедицинскихвузов/о.к.поздеев;ред.:в.и.покровский,2008.-768с."
399,577.1(075.8)/Б484-500025,"березов,темирболаттемболатович.биологическаяхимияучебник/т.т.березов,б.ф.коровкин;ред.с.с.дебов,1990.-542с."
402,577.1/H29-254419,"harper'sillustratedbiochemistrytextbook/victorw.rodwell[etal.],2015.-817p."
404,577.1/L11-058469,"laboratorymanualforpracticalbiochemistry[text]:tutorialforstudentsstudyinginthebasicvocationalandeducationalprograms–specialtyprograms:""generalmedicine""and""pediatrics""/o.l.nosareva[etal.];rev.o.e.akbasheva,2019.-174p."
405,577.1/L11-058469,"laboratorymanualforpracticalbiochemistry[text]:tutorialforstudentsstudyinginthebasicvocationalandeducationalprograms–specialtyprograms:""generalmedicine""and""pediatrics""/o.l.nosareva[etal.];rev.o.e.akbasheva,2019.-174p."
408,577.1/А385-861991,"акбашева,ольгаевгеньевна.биологическаяхимияучебноепособиедлястудентов,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммам–программамспециалитетапоспециальности""фармация""/о.е.акбашева,и.а.позднякова;подред.в.ю.сереброва;рец.:в.э.цейликман,а.и.глухов,2016.-220с."
422,577.1/Б635-745046,"биоорганическаяхимиясэлементамибиохимииучебноепособиедлястудентов,обучающихсяпоспециальности060105-стоматология/и.л.филимонова[идр.],2010.-220с."
428,577.1/Б638-239617,"биохимияучебникдлястудентовмедицинскихвузов/ред.:е.с.северин,2007.-784с."
430,577.1/Б638-310099,"биохимияучебникдлястудентовмедицинскихвузов/ред.е.с.северин,2011.-768с."
432,577.1/Б638-327421,"биохимияучебникдлястудентовмедицинскихвузов/ред.:е.с.северин,2008.-768с."
434,577.1/Б638-337840,"биохимияучебникдлястудентовмедицинскихвузов/ред.е.с.северин,2013.-768с."
438,577.1/Б638-541520,"биохимияучебникдлястудентовмедицинскихвузов/ред.е.с.северин,2005.-784с."
442,577.1/Б638-802815,"биохимияучебникдлястудентовмедицинскихвузов/ред.е.с.северин,2003.-784с."
444,577.1/Б638-884910,"биохимияучебникдлястудентовмедицинскихвузов/л.в.авдеева[идр.];подред.е.с.северина,2014.-768с."
446,577.1/Б638-899879,"биохимияучебникдлястудентовмедицинскихвузов/ред.:е.с.северин,2009.-768с."
447,577.1/Б638-899879,"биохимияучебникдлястудентовмедицинскихвузов/ред.:е.с.северин,2009.-768с."
453,577.1/Ж135-264606,"жаворонок,татьянавасильевна.практикумпобиологическойхимииибиохимииполостиртаучебноепособиедлястудентов,обучающихсяпоосновнойпрофессиональнойобразовательнойпрограммевысшегообразования-программеспециалитетапоспециальности""стоматология""/т.в.жаворонок,о.а.тимин;рец.д.и.кузьменко,2016.-232с."
456,577.1/И328-672383,"избранныелекциипобиологическойхимиидлястудентовфармацевтическогофакультетаучебноепособиедлястудентов,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммамвысшегообразования-программамспециалитетапоспециальности""фармация""/сибирскиймедицинскийуниверситет(томск),2018.-116с."
457,577.1/И328-672383,"избранныелекциипобиологическойхимиидлястудентовфармацевтическогофакультетаучебноепособиедлястудентов,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммамвысшегообразования-программамспециалитетапоспециальности""фармация""/сибирскиймедицинскийуниверситет(томск),2018.-116с."
459,577.1/К492-163688,"климентьева,татьянаконстантиновна.практикумпобиологическойхимиидлястудентовмедико-биологическогофакультетаучебноепособиепоспециальностям:30.05.01–медицинскаябиохимия,30.05.02–медицинскаябиофизикаи30.05.03–медицинскаякибернетика/т.к.климентьева,о.е.акбашева,д.и.кузьменко;рец.и.в.мильто,2019.-193с."
463,577.1/К893-015514,"кузьменко,дмитрийиванович.интегративнаябиохимия.регуляцияметаболизмакурслекций:длястудентовмедико-биологическогофакультета,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммам–программамспециалитетапоспециальности30.05.01–""медицинскаябиохимия""/д.и.кузьменко,т.к.климентьева;рец.т.а.замощина,2017.-210с."
465,577.1/К893-918625,"кузьменко,дмитрийиванович.биохимияоргановисистемкурслекцийдлястудентов4курсамедико-биологическогофакультета,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммам–программамспециалитетапоспециальности30.05.01–медицинскаябиохимия/д.и.кузьменко,о.е.акбашева,т.к.климентьева;рец.и.в.мильто,2019.-192с."
466,577.1/К893-918625,"кузьменко,дмитрийиванович.биохимияоргановисистемкурслекцийдлястудентов4курсамедико-биологическогофакультета,обучающихсяпоосновнымпрофессиональнымобразовательнымпрограммам–программамспециалитетапоспециальности30.05.01–медицинскаябиохимия/д.и.кузьменко,о.е.акбашева,т.к.климентьева;рец.и.в.мильто,2019.-192с."
470,577.1/Л125-296484,"лабораторныйпрактикумпобиологическойхимииучебно-практическоеизданиедлястудентовфармацевтическогофакультета/и.а.позднякова[идр.];ред.:в.ю.серебров,т.с.федорова;рец.т.в.кадырова,2016.-197с."
472,577.1/Л125-475629,"лабораторныйпрактикумпобиохимииучебноепособиедлястудентовлечебногоипедиатрическогофакультетов/о.л.носарева[идр.];рец.о.е.акбашева,2016.-201с."
474,577.1/Л125-679196,"лабораторныйпрактикумпобиологическойхимииучебно-практическоепособиедлястудентов2курсафармацевтическогофакультета/и.а.позднякова[идр.];ред.в.ю.серебров;рец.т.в.кадырова,2020.-204с."
482,577.1/М422-930888,"медицинскаябиохимия:принципыизмерительныхтехнологийвбиохимииучебноепособие:поспециальности30.05.01-медицинскаябиохимия/г.а.суханова[идр.];ред.в.ю.серебров;рец.м.а.медведев,2018.-133с."
484,577.1/М422-937125,"медицинскаябиохимия:патохимия,диагностика.интегративнаябиохимия.регуляцияметаболизмапрактикум:поспециальности30.05.01-медицинскаябиохимия/г.а.суханова[идр.];рец.м.а.медведев,2018.-112с."
